,pair_0,pair_1,min_dcor,p-value,condition
118,10,12,0.0,0.47875,"('4', '5', '8', '11', '17', 'T')"
119,10,13,0.00282,0.15298,"('2', '7', '9', '16', '17', 'T')"
120,10,14,0.0119,0.0387,"('2', '3', '4', '9', '11', '16', '17')"
121,10,15,0.00192,0.79372,"('9', '13', '14', '17', 'T')"
122,10,16,0.0103,0.0351,"('1', '2', '3', '12', '14', '17')"
123,10,17,0.02227,0.0067,"('1', '2', '7', '9', '11', '12', '13', '14', '16')"
124,10,T,0.00051,0.64324,"('1', '2', '13', '14')"
125,11,12,0.01179,0.0291,"('T',)"
126,11,13,1e-05,0.47605,"('3', '4', '5', '6', '14', '15', 'T')"
127,11,14,9e-05,0.38376,"('2', '4', '5', '10', '12', '16', '17', 'T')"
128,11,15,0.0,0.45185,"('2', '3', '4', '6', '7', '13', '14', '16', '17')"
129,11,16,0.0,0.48815,"('1', '4', '5', '8', '9', '10', '12', '13', '14', '15')"
130,11,17,0.0019,0.19878,"('2', '4', '6', '7', '10', '12', '14', 'T')"
131,11,T,0.01366,0.0236,"('12',)"
132,12,13,0.00014,0.37566,"('2', '7', '9', '11', '16', '17', 'T')"
133,12,14,0.00059,0.30007,"('2', '3', '9', '10', '11', '16', '17')"
134,12,15,0.0,0.45735,"('1', '2', '3', '7', '8', '13', '16', 'T')"
135,12,16,0.00387,0.12439,"('2', '3', '10', '11', '14', '17', 'T')"
136,12,17,0.03054,0.0015,"('1', '2', '9', '11', '13', '14', '16', 'T')"
137,12,T,0.03509,0.0018,"('3', '5', '7', '11', '13', '15', '16', '17')"
138,13,14,0.00062,0.65363,"('3', '4', '5', '10', '11')"
139,13,15,0.00079,0.66863,"('3', '4', 'T')"
140,13,16,0.0,0.45875,"('1', '2', '7', '10', '12', 'T')"
141,13,17,0.00031,0.33327,"('1', '2', '7', '9', '10', '12', '16', 'T')"
142,13,T,6e-05,0.39826,"('7', '9', '11', '12', '16')"
143,14,15,0.00146,0.75882,"('10',)"
144,14,16,0.00664,0.07279,"('2', '3', '5', '10', '12', '17')"
145,14,17,0.00396,0.12349,"('1', '2', '4', '9', '10', '11', '12', '16')"
146,14,T,0.00302,0.86061,"('6', '7', '12', '13', '15')"
147,15,16,0.0,0.46625,"('10', '14')"
148,15,17,0.00011,0.54295,"('7', '8', '9', '10', '11', '12', '13', '14', '16')"
149,15,T,3e-05,0.41016,"('1', '3', '4', '5', '7', '11', '12', '16')"
150,16,17,0.00135,0.24448,"('1', '2', '7', '10', '12', '14')"
151,16,T,0.00027,0.35336,"('3', '5', '7', '11', '12')"
152,17,T,0.0,0.46465,"('7', '10', '11', '12', '14', '15', '16')"
