,pair_0,pair_1,min_dcor,p-value,condition
120,10,14,0.0,0.41656,"('1', '2', '7', '9', '11', '13', '15', '17', 'T')"
121,10,15,0.00018,0.06199,"('2', '3', '7', '9', '14', '16', '17', 'T')"
122,10,16,0.0,0.45065,"('1', '3', '5', '7', '9', '11', '13', '14', '15', '17')"
123,10,17,0.0206,0.0001,"('2', '7')"
124,10,T,0.0,0.45555,"('1', '2', '3', '4', '6', '9', '11', '12', '15', '16', '17')"
125,11,12,0.00516,0.0001,"('2', '3', '5', '7', '9', '10', '14', '16', '17', 'T')"
126,11,13,0.0,0.37286,"('1', '7', '12', '16', 'T')"
127,11,14,0.00113,0.0017,"('1', '2', '3', '4', '5', '7', '9', '12', '15', '16', '17', 'T')"
128,11,15,0.0,0.43286,"('2', '3', '4', '7', '9', '10', '12', '16', '17', 'T')"
129,11,16,0.00191,0.0003,"('2', '3', '4', '5', '6', '7', '9', '12', '14', '17', 'T')"
130,11,17,0.0024,0.0001,"('1', '2', '3', '4', '7', '8', '9', '10', '12', '13', '14', '16', 'T')"
131,11,T,0.02058,0.0001,"('2', '3', '4', '7', '9', '10', '12', '14', '15', '16', '17')"
132,12,13,0.00036,0.0242,"('7', '9', '11', '15', '17', 'T')"
133,12,14,3e-05,0.23588,"('1', '2', '3', '5', '7', '9', '11', '15', '16', '17', 'T')"
134,12,15,0.00017,0.06969,"('2', '3', '7', '9', '11', '14', '16', '17', 'T')"
135,12,16,0.00097,0.0011,"('2', '3', '5', '7', '9', '11', '15', '17', 'T')"
136,12,17,0.008,0.0001,"('1', '2', '3', '7', '8', '9', '10', '11', '14', '15', '16', 'T')"
137,12,T,0.00296,0.0001,"('2', '3', '7', '9', '11', '15', '16', '17')"
138,13,14,0.0,0.42876,"('1', '3', '7', '9', '10', '11', '12', '15', '17', 'T')"
139,13,15,0.00095,0.007,"('7', 'T')"
140,13,16,1e-05,0.30727,"('7', 'T')"
141,13,17,0.00035,0.0232,"('1', '2', '7', '10', '12', 'T')"
142,13,T,2e-05,0.25127,"('1', '2', '7', '11', '12', '15')"
143,14,15,0.00424,0.0001,"('1', '2', '3', '7', '9', '16', 'T')"
144,14,16,0.00027,0.0382,"('1', '2', '5', '7', '9', '11', '12', '15', 'T')"
145,14,17,0.00207,0.0001,"('1', '2', '3', '4', '7', '8', '9', '10', '11', '12', '13', '15', '16', 'T')"
146,14,T,0.00022,0.05029,"('1', '2', '3', '5', '7', '9', '11', '12', '13', '15', '16', '17')"
147,15,16,0.00021,0.0496,"('2', '3', '7', '9', '11', '12', '14', 'T')"
148,15,17,0.00014,0.07839,"('1', '2', '3', '7', '9', '10', '12', '14', '16', 'T')"
149,15,T,0.00802,0.0001,"('2', '3', '7', '9', '11', '12', '13', '14', '16')"
150,16,17,0.00066,0.0034,"('1', '2', '3', '4', '6', '7', '8', '9', '10', '11', '12', '14', '15', 'T')"
151,16,T,0.00142,0.0005,"('1', '2', '3', '7', '9', '11', '12', '15')"
152,17,T,0.00542,0.0001,"('1', '2', '3', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16')"
