,pair_0,pair_1,min_dcor,p-value,condition
121,10,15,0.00606,0.62854,"('1', '2', '5', '7', '8', '9', '12', '13', '16')"
122,10,16,0.03392,0.17088,"('3', '5', '11', '14', 'T')"
123,10,17,0.0,0.47795,"('1', '2', '4', '6', '7', '8', '14', '15', 'T')"
124,10,T,0.19736,0.0156,"('1', '11', '13')"
125,11,12,0.0,0.48845,"('1', '7', '8', '9', '14', '17', 'T')"
126,11,13,0.0,0.47335,"('1', '2', '3', '4', '7', '9', '12', '16', 'T')"
127,11,14,0.01983,0.23608,"('1', '2', '6', '7', '8', '16', 'T')"
128,11,15,0.0089,0.69103,"('1', '2', '5', '13', '16')"
129,11,16,0.0,0.49255,"('1', '5', '10', '14', 'T')"
130,11,17,0.00216,0.58424,"('T',)"
131,11,T,0.20339,0.0075,"('10', '14')"
132,12,13,0.00757,0.30867,"('1', '2', '10', '15')"
133,12,14,0.0,0.48675,"('1', '2', '3', '4', '5', '10', '13', 'T')"
134,12,15,0.0,0.47665,"('1', '2', '3', '10', '13', '14', '16', '17')"
135,12,16,0.02718,0.80182,"('1', '5', '8', '10', '13', '15', '17', 'T')"
136,12,17,0.06639,0.10199,"('1', '2', '4', '7', '10', '14', '15')"
137,12,T,0.0,0.45575,"('3', '5', '10', '11', '13', '14', '15')"
138,13,14,0.0,0.45935,"('1', '8', '9', '10', '15', '16', 'T')"
139,13,15,0.0,0.39726,"('1', '4', '6', '9', '10', '14', '16', '17')"
140,13,16,0.0,0.49445,"('2', '12', 'T')"
141,13,17,0.0,0.45225,"('1', '2', '4', '6', '7', '10', '12', '15', '16', 'T')"
142,13,T,0.0,0.40806,"('4', '5', '7', '8', '9', '12', '15', '16', '17')"
143,14,15,0.0,0.45635,"('1', '3', '4', '10', '12')"
144,14,16,0.00037,0.44066,"('7', '11', '15')"
145,14,17,0.01145,0.27767,"('1', '2', '4', '7', '9', '11', '12', '16')"
146,14,T,0.01352,0.70543,"('10', '13', '15')"
147,15,16,0.06034,0.11259,"('2', '3', '5', '7')"
148,15,17,0.0,0.47695,"('1', '2', '4', '7', '9', '12', '14')"
149,15,T,0.0,0.45965,"('2', '5', '13')"
150,16,17,0.00169,0.58404,"('12', '13')"
151,16,T,0.0,0.47095,"('1', '2', '3', '5', '10', '11', '14', '15')"
152,17,T,0.00827,0.67843,"('1', '2', '14', '15')"
