,pair_0,pair_1,min_dcor,p-value,condition
84,6,16,0.0,0.46305,"('4', '5', '8', '11', '12', '13', '17', 'T')"
85,6,17,0.00243,0.37256,"('1', '2', '12', 'T')"
86,6,T,0.00957,0.23538,"('3', '12', '13', '14', '15', '17')"
87,7,8,0.00939,0.25877,"('1', '2', '3', '4', '5', '9', '10', '12', '16', '17', 'T')"
88,7,9,0.06773,0.0497,"('10',)"
89,7,10,0.0105,0.24958,"('1', '2', '9', '12', '16')"
90,7,11,0.0,0.48345,"('4', '5', '6', '9', '10', '12', '13', '14', '15', '16', 'T')"
91,7,12,0.00565,0.28997,"('1', '2', '3', '6', '8', '9', '10', '11', '16')"
92,7,13,0.0,0.46615,"('2', '5', '10', '14', '15', '16', '17')"
93,7,14,0.0,0.48115,"('1', '3', '8', '9', '10', '11', '12', '13', 'T')"
94,7,15,5e-05,0.50205,"('1', '12', '16')"
95,7,16,0.0,0.48085,"('1', '2', '3', '4', '9', '11', '14', '17')"
96,7,17,0.00721,0.28527,"('1', '2', '8', '10', '12', '16')"
97,7,T,0.0,0.47385,"('2', '3', '4', '5', '11', '12', '13', '16')"
98,8,9,0.0,0.49805,"('5', '7', '10', '11', '13', '15', '16', '17')"
99,8,10,0.0,0.49215,"('2', '3', '4', '5', '9', '13', '14', '15', '16', '17', 'T')"
100,8,11,0.0,0.49155,"('1', '2', '3', '5', '6', '12', '13', '14', '15')"
101,8,12,0.0,0.47785,"('1', '3', '4', '5', '6', '7', '9', '10', '15', '16')"
102,8,13,0.00974,0.25237,"('1', '2', '3', '5', '15', '16', 'T')"
103,8,14,0.0,0.49135,"('3', '4', '5', '9', '12', '15', '17', 'T')"
104,8,15,7e-05,0.45605,"('2', '5', '10', '11', '13', 'T')"
105,8,16,0.0,0.48555,"('1', '2', '4', '6', '7', '9', '14', '15', '17', 'T')"
106,8,17,0.0478,0.07799,"('1', '2', '7', '15', '16', 'T')"
107,8,T,0.00845,0.26787,"('3', '5', '13', '14', '15', '17')"
108,9,10,0.1373,0.01,"('7', '16')"
109,9,11,0.0,0.48615,"('2', '6', '13', '16', '17', 'T')"
110,9,12,0.0,0.47065,"('1', '2', '3', '6', '8', '10', '11', '14', '17')"
111,9,13,3e-05,0.48385,"('1', '2', '3', '4', '6', '15', 'T')"
112,9,14,0.00344,0.33957,"('7', '10', '15', '16')"
113,9,15,0.0093,0.24028,"('5', '7', '10', '11', '13', '14', 'T')"
114,9,16,0.0,0.47495,"('2', '5', '7', '13', '14', '17', 'T')"
115,9,17,0.0,0.48685,"('2', '6', '7', '10', '11', '12', '13', '14', '16')"
116,9,T,0.0,0.44726,"('1', '2', '4', '5', '6', '7', '8', '10', '11', '12', '15', '16')"
117,10,11,0.00137,0.40086,"('1', '3', '9', '12', '15', '16')"
118,10,12,0.01263,0.22188,"('2', '7', '11')"
119,10,13,0.05375,0.9582,"('1', '2', '5', '6', '15', 'T')"
120,10,14,0.0,0.46975,"('1', '2', '4', '6', '7', '9', '12', '15', '16', 'T')"
121,10,15,0.0,0.46275,"('1', '5', '11', '13', 'T')"
122,10,16,0.0,0.48135,"('2', '4', '7', '9', '11', '12', '14')"
123,10,17,0.0,0.48765,"('1', '7', '8', '9', '11', '15', 'T')"
124,10,T,0.00077,0.55064,"('5', '6', '13', '15')"
