,pair_0,pair_1,min_dcor,p-value,condition
122,10,16,0.0,0.49115,"('6', '7', '12', '13', '14', '15', '17', 'T')"
123,10,17,0.05135,0.12429,"('2', '3', '7', '11', '12', '13', '14', 'T')"
124,10,T,1e-05,0.50255,"('2', '3', '7', '11', '13')"
125,11,12,0.0,0.47985,"('2', '3', '6', '7', '13', '14', '16', '17', 'T')"
126,11,13,0.0,0.51365,"('3', '5', '10', '16', 'T')"
127,11,14,0.0,0.49545,"('2', '3', '4', '7', 'T')"
128,11,15,0.02477,0.78352,"('1', '10', '13', 'T')"
129,11,16,0.0,0.50055,"('1', '6', '7', '9', '10', '12', '17')"
130,11,17,0.0,0.50145,"('3', '4', '5', '7', '12', '13', '14', '16')"
131,11,T,0.13252,0.0289,"('3',)"
132,12,13,0.05061,0.13709,"('5', '7', '11', '14', '16')"
133,12,14,0.0,0.43286,"('4', '6', '7', '9', '15', '16', '17', 'T')"
134,12,15,0.0,0.43116,"('1', '2', '4', '9', '13', 'T')"
135,12,16,0.0017,0.40466,"('13', '14', '17')"
136,12,17,0.12655,0.0369,"('7', '11', '13', '16')"
137,12,T,0.0,0.45535,"('2', '3', '4', '7', '10', '15', '16', '17')"
138,13,14,0.01401,0.25307,"('3', '4', '6', '8', '9', '11', 'T')"
139,13,15,0.00076,0.39106,"('1', '3', '10', '11', '16')"
140,13,16,0.00095,0.54625,"('1', '3', '4', '6', '10', '14')"
141,13,17,0.0,0.49165,"('1', '2', '4', '5', '6', '10', '11', '12', 'T')"
142,13,T,0.0,0.46065,"('1', '2', '3', '4', '10', '11')"
143,14,15,0.00135,0.55054,"('1', '10', '13')"
144,14,16,0.01332,0.27617,"('1', '5', '10', '12', '13')"
145,14,17,0.0,0.48565,"('2', '5', '11', '16')"
146,14,T,0.00029,0.49675,"('3', '4', '7', '11')"
147,15,16,0.00559,0.64164,"('1', '10', '11', '12', '13', '14', 'T')"
148,15,17,0.00304,0.37606,"('1', '2', '3', '4', '5', '7', '9', '12', '13')"
149,15,T,2e-05,0.46595,"('1', '10', '11')"
150,16,17,0.0,0.49105,"('1', '3', '4', '7', '12', '14')"
151,16,T,0.0,0.47275,"('1', '3', '4', '5', '6', '8', '9', '12', '13', '14', '15')"
152,17,T,0.0,0.48415,"('1', '2', '3', '4', '9', '10', '11', '14', '16')"
