,pair_0,pair_1,min_dcor,p-value,condition
134,12,15,0.0,0.44066,"('2', '3', '7', '9', '13', '14', 'T')"
135,12,16,7e-05,0.53955,"('7', '10', '15', 'T')"
136,12,17,0.02173,0.0046,"('1', '2', '7', '8', '9', '10', '11', 'T')"
137,12,T,0.00507,0.08609,"('6', '7', '9', '10', '11', '13', '17')"
138,13,14,0.0002,0.57734,"('5', '7', '10')"
139,13,15,0.00138,0.76402,"('3', '10', '14', '16')"
140,13,16,3e-05,0.51895,"('6', '7', '12')"
141,13,17,0.0,0.48295,"('2', '4', '6', '7', '8', '11', '14', '16')"
142,13,T,0.00014,0.36716,"('1', '2', '4', '6', '7', '8', '11', '12')"
143,14,15,0.00202,0.15878,"('3', '6', '10', '11', '17')"
144,14,16,0.0,0.43986,"('1', '2', '8', '11', '15', '17')"
145,14,17,0.00862,0.0401,"('8', '11', '12', '15', 'T')"
146,14,T,0.0002,0.34187,"('6', '8', '11', '15', '17')"
147,15,16,0.00078,0.69543,"('2', '4', '5', '8', '13', 'T')"
148,15,17,0.0,0.47135,"('1', '3', '4', '6', '8', '11', '12', '13', '14', 'T')"
149,15,T,0.0,0.42826,"('3', '5', '6', '10', '12', '13', '14', '16')"
150,16,17,0.0,0.47065,"('2', '5', '11', 'T')"
151,16,T,2e-05,0.48555,"('6', '7', '12', '13', '15')"
152,17,T,0.00492,0.08329,"('2', '6', '7', '8', '11', '12', '13', '14')"
