,pair_0,pair_1,min_dcor,p-value,condition
89,7,10,0.0,0.48415,"('1', '2', '11', '12', '14', '16', '17')"
90,7,11,0.0,0.50695,"('1', '2', '3', '4', '5', '8', '10', '12', '15', '17')"
91,7,12,0.0,0.46045,"('1', '2', '3', '5', '9', '10', '11', '15', 'T')"
92,7,13,0.0,0.46615,"('2', '5', '6', '9', '14', '15', '16', 'T')"
93,7,14,0.0,0.45565,"('5', '9', '10', '13', 'T')"
94,7,15,0.00957,0.59434,"('10', '11', '16', '17')"
95,7,16,0.06305,0.83172,"('3', '5', '6', '10', '14')"
96,7,17,2e-05,0.51085,"('15', '16')"
97,7,T,0.00603,0.36426,"('9', '10', '13')"
98,8,9,0.0,0.49525,"('3', '4', '12', '15')"
99,8,10,0.0,0.50365,"('2', '7', '9', '12', '13', '14', '16', '17')"
100,8,11,0.00013,0.47515,"('2', '5', '10', '14', '15', '16', 'T')"
101,8,12,0.0,0.46785,"('1', '2', '9', '14', '15', 'T')"
102,8,13,0.0,0.46965,"('1', '3', '7', '9', '11', 'T')"
103,8,14,0.13001,0.09049,"('5', '7', '11', '13', '17', 'T')"
104,8,15,0.0,0.48075,"('2', '3', '7', '9', '14')"
105,8,16,0.0,0.48595,"('2', '3', '6', '7', '10', '11', '12', '13', '14', '15')"
106,8,17,0.0,0.50345,"('2', '3', '5', '7', '11', '12', '14')"
107,8,T,0.0,0.50445,"('2', '6', '7', '9', '11', '14')"
108,9,10,0.0,0.47355,"('2', '3', '14', '16', 'T')"
109,9,11,0.0,0.51115,"('4', '6', '7', '12', '14', '16', '17', 'T')"
110,9,12,0.04504,0.22488,"('2', '3', '7', '10', '15', '16')"
111,9,13,0.0,0.46585,"('3', '5', '12', '15', 'T')"
112,9,14,1e-05,0.49955,"('7', '10', '15', '16', 'T')"
113,9,15,0.0,0.46965,"('3', '6', '7', '8', '10', '14', '16', 'T')"
114,9,16,0.22334,0.0322,"('1', '10', '13', '14')"
115,9,17,0.0,0.49615,"('10', '15', '16', 'T')"
116,9,T,0.0,0.47565,"('3', '5', '6', '10', '12', '13', '16')"
117,10,11,0.0,0.48725,"('3', '4', '6', '13', '15', '16')"
118,10,12,0.0302,0.25907,"('13', '17', 'T')"
119,10,13,0.0,0.50945,"('1', '2', '3', '7', '14', '15', '17', 'T')"
120,10,14,0.01263,0.65123,"('3', '7', '11', '13', '17')"
121,10,15,0.0,0.48545,"('3', '5', '11', '16', '17', 'T')"
122,10,16,0.0,0.48555,"('1', '3', '4', '6', '12', '13', '14')"
123,10,17,0.27523,0.9771,"('3', '6', '14', '15', '16', 'T')"
124,10,T,0.0,0.50655,"('1', '2', '7', '9', '14', '16', '17')"
125,11,12,0.02082,0.28807,"('2', '9', '10', '13', '15')"
126,11,13,0.0,0.48855,"('1', '2', '3', '4', '5', '6', '7', '8', '10', '12', '14', '15', '16', 'T')"
127,11,14,0.06728,0.17668,"('3', '4', '5', '7', '8', '12', '13', '15', '17', 'T')"
128,11,15,0.00074,0.45125,"('3', '4', '8', '12', '17')"
129,11,16,0.0,0.48845,"('2', '3', '4', '6', '14', 'T')"
130,11,17,0.0,0.49115,"('3', '4', '5', '6', '8', '10', '13')"
131,11,T,0.0,0.45185,"('2', '8', '9', '12', '15', '16')"
132,12,13,0.08474,0.87421,"('1', '6', '14', '17', 'T')"
133,12,14,0.0,0.47125,"('1', '3', '4', '5', '6', '8', '15', '17', 'T')"
134,12,15,0.0,0.42076,"('2', '5', '9', '10', '11', '17')"
135,12,16,0.0,0.46165,"('5', '6', '7', '13', '14', 'T')"
136,12,17,0.0,0.49175,"('2', '7', '10')"
137,12,T,0.0,0.49305,"('1', '5', '6', '7', '9', '13', '14', '17')"
138,13,14,0.0,0.49625,"('1', '3', '7', '8', '10', '11', '16', 'T')"
139,13,15,0.00014,0.49635,"('T',)"
140,13,16,0.00288,0.37736,"('1', '2', '9', '11', '17', 'T')"
141,13,17,0.0,0.47695,"('1', '6', '7', '8', '11', '14', 'T')"
142,13,T,0.66179,0.0006,"('1', '2', '3', '5', '7', '11', '16', '17')"
143,14,15,0.0,0.47415,"('3', '6', '7', '8', '9', '11', '12', 'T')"
144,14,16,0.08236,0.85881,"('3', '7')"
145,14,17,2e-05,0.50045,"('3', 'T')"
146,14,T,0.0,0.48085,"('1', '4', '5', '7', '8', '11', '13', '15', '17')"
147,15,16,0.01705,0.68483,"('2', '9', '10', '13', 'T')"
148,15,17,0.13998,0.09189,"('2', '10', 'T')"
149,15,T,1e-05,0.49395,"('2', '7', '10', '16')"
150,16,17,0.0,0.50615,"('2', '3', '5', '7', '10')"
151,16,T,0.00044,0.42446,"('2', '13')"
152,17,T,0.0,0.49705,"('1', '3', '7', '8', '10', '11', '14', '15')"
