,pair_0,pair_1,min_dcor,p-value,condition
114,9,16,0.0,0.47785,"('2', '3', '4', '6', '7', '10', '12', '13', '15', 'T')"
115,9,17,0.0,0.49815,"('3', '4', '5', '11', '12', '13', '15', '16')"
116,9,T,0.0,0.45235,"('1', '2', '3', '4', '6', '7', '10', '15')"
117,10,11,0.04012,0.14899,"('3', '4', '9', '12', '16')"
118,10,12,0.0,0.47115,"('1', '2', '5', '6', '9', '13', '14', '16', 'T')"
119,10,13,0.00944,0.68283,"('1', 'T')"
120,10,14,0.01425,0.72713,"('5', '6', '11', '15', 'T')"
121,10,15,0.0,0.47715,"('5', '6', '8', '9', '13', '14', '16', 'T')"
122,10,16,0.0,0.48445,"('2', '4', '11', '12', '17', 'T')"
123,10,17,0.00155,0.43006,"('12', '13', '14')"
124,10,T,0.02556,0.79722,"('13', '14', '15')"
125,11,12,0.00089,0.43786,"('2', '3', '16')"
126,11,13,0.0,0.49575,"('1', '6', '8', '9', '10', '12', '14', '16', '17', 'T')"
127,11,14,0.01083,0.28837,"('3', '9', '12', '15', '16', 'T')"
128,11,15,0.0,0.47375,"('3', '8', '9', '10', '12', 'T')"
129,11,16,0.0,0.48475,"('1', '3', '4', '5', '7', '9', '10', '12', '13')"
130,11,17,0.0,0.50455,"('1', '2', '5', '6', '10', '12', '13')"
131,11,T,0.0,0.50135,"('1', '2', '4', '5', '6', '9', '17')"
132,12,13,1e-05,0.49135,"('1', '2', '3')"
133,12,14,0.0,0.47535,"('1', '5', '8', '9', '10', '11', '15', 'T')"
134,12,15,0.00552,0.61314,"('8', '9', '10', '14', '17')"
135,12,16,0.00025,0.50595,"('1', '7', '10', '14', '15', '17')"
136,12,17,0.00062,0.55004,"('1', '10', '15', '16')"
137,12,T,0.0,0.45635,"('4', '7', '8', '15')"
138,13,14,0.0003,0.50775,"('1', '2', '3', '17')"
139,13,15,0.0,0.43406,"('1', '2', '3', '7', '9', '11', '14')"
140,13,16,0.00102,0.41456,"('1', '2', '3', '4', '7', '17', 'T')"
141,13,17,0.0,0.50265,"('2', '3', '6', '7', '8', '10', '11', '15', '16')"
142,13,T,0.04327,0.13019,"('2', '3', '8', '15')"
143,14,15,0.0,0.46915,"('1', '9', 'T')"
144,14,16,0.0,0.48065,"('1', '2', '3', '4', '5', '7', '9', '10', '11', '12', '13', '15')"
145,14,17,0.04636,0.86421,"('2', '10')"
146,14,T,0.00893,0.28957,"('5', '15')"
147,15,16,4e-05,0.47055,"('T',)"
148,15,17,0.0,0.50405,"('1', '6', '8', '9', '16', 'T')"
149,15,T,0.06088,0.11129,"('8', '13', '14', '17')"
150,16,17,0.01271,0.28197,"('1', '2', '4', '5', '6', '7', '10', '11', '13', 'T')"
151,16,T,0.00158,0.55404,"('4', '10', '12')"
152,17,T,0.00118,0.43936,"('6', '8', '13', '15', '16')"
